"Step","DRWKV6-halfcheetah-medium-v2-d64425d1 - train_loss","DRWKV6-halfcheetah-medium-v2-d64425d1 - train_loss__MIN","DRWKV6-halfcheetah-medium-v2-d64425d1 - train_loss__MAX"
"0","0.7295957371730933","0.7295957371730933","0.7295957371730933"
"1","0.7105826005124964","0.7105826005124964","0.7105826005124964"
"2","0.7302278248157339","0.7302278248157339","0.7302278248157339"
"3","0.7191306060325642","0.7191306060325642","0.7191306060325642"
"4","0.718329884908213","0.718329884908213","0.718329884908213"
"5","0.7182830871968325","0.7182830871968325","0.7182830871968325"
"6","0.7206764450885755","0.7206764450885755","0.7206764450885755"
"7","0.714480382702817","0.714480382702817","0.714480382702817"
"8","0.7317094460535412","0.7317094460535412","0.7317094460535412"
"9","0.7160119710299573","0.7160119710299573","0.7160119710299573"
"10","0.7185225738709773","0.7185225738709773","0.7185225738709773"
"11","0.7176287372112523","0.7176287372112523","0.7176287372112523"
"12","0.7194909340731543","0.7194909340731543","0.7194909340731543"
"13","0.7117156411114143","0.7117156411114143","0.7117156411114143"
"14","0.7056754760176606","0.7056754760176606","0.7056754760176606"
"15","0.7006806431135688","0.7006806431135688","0.7006806431135688"
"16","0.7191427762259652","0.7191427762259652","0.7191427762259652"
"17","0.7061581624846182","0.7061581624846182","0.7061581624846182"
"18","0.6894919168970924","0.6894919168970924","0.6894919168970924"
"19","0.7010686488417841","0.7010686488417841","0.7010686488417841"
"20","0.7116371643932451","0.7116371643932451","0.7116371643932451"
"21","0.6920861587124826","0.6920861587124826","0.6920861587124826"
"22","0.6983332512502679","0.6983332512502679","0.6983332512502679"
"23","0.6985770993354751","0.6985770993354751","0.6985770993354751"
"24","0.6919479447144963","0.6919479447144963","0.6919479447144963"
"25","0.6730079025923758","0.6730079025923758","0.6730079025923758"
"26","0.6994711476837447","0.6994711476837447","0.6994711476837447"
"27","0.6799140113616554","0.6799140113616554","0.6799140113616554"
"28","0.6874547866315993","0.6874547866315993","0.6874547866315993"
"29","0.7004008856304665","0.7004008856304665","0.7004008856304665"
"30","0.6929013239514743","0.6929013239514743","0.6929013239514743"
"31","0.6847264051251225","0.6847264051251225","0.6847264051251225"
"32","0.6737885405586773","0.6737885405586773","0.6737885405586773"
"33","0.6772723680349424","0.6772723680349424","0.6772723680349424"
"34","0.6787487768094611","0.6787487768094611","0.6787487768094611"
"35","0.672491811117986","0.672491811117986","0.672491811117986"
"36","0.678476225583902","0.678476225583902","0.678476225583902"
"37","0.6558480862883911","0.6558480862883911","0.6558480862883911"
"38","0.6616617663465254","0.6616617663465254","0.6616617663465254"
"39","0.6508114179450303","0.6508114179450303","0.6508114179450303"
"40","0.6560977119174285","0.6560977119174285","0.6560977119174285"
"41","0.6635943158189128","0.6635943158189128","0.6635943158189128"
"42","0.6321964179558712","0.6321964179558712","0.6321964179558712"
"43","0.6544905405674494","0.6544905405674494","0.6544905405674494"
"44","0.6426868268670378","0.6426868268670378","0.6426868268670378"
"45","0.6475143283879609","0.6475143283879609","0.6475143283879609"
"46","0.6574160487794727","0.6574160487794727","0.6574160487794727"
"47","0.6513847736222457","0.6513847736222457","0.6513847736222457"
"48","0.6194251147615466","0.6194251147615466","0.6194251147615466"
"49","0.6436303323121912","0.6436303323121912","0.6436303323121912"
"50","0.6247827618571196","0.6247827618571196","0.6247827618571196"
"51","0.6364334750935166","0.6364334750935166","0.6364334750935166"
"52","0.6286604720311807","0.6286604720311807","0.6286604720311807"
"53","0.6389141468475235","0.6389141468475235","0.6389141468475235"
"54","0.6213102076135787","0.6213102076135787","0.6213102076135787"
"55","0.6206265852033587","0.6206265852033587","0.6206265852033587"
"56","0.6124749613871905","0.6124749613871905","0.6124749613871905"
"57","0.6261670197966018","0.6261670197966018","0.6261670197966018"
"58","0.615317190489804","0.615317190489804","0.615317190489804"
"59","0.5937482786799203","0.5937482786799203","0.5937482786799203"
"60","0.5955894263902718","0.5955894263902718","0.5955894263902718"
"61","0.6022072688356874","0.6022072688356874","0.6022072688356874"
"62","0.5974229359193377","0.5974229359193377","0.5974229359193377"
"63","0.5923643086265068","0.5923643086265068","0.5923643086265068"
"64","0.5769002418396881","0.5769002418396881","0.5769002418396881"
"65","0.5926271406327008","0.5926271406327008","0.5926271406327008"
"66","0.5893092414947","0.5893092414947","0.5893092414947"
"67","0.5799332111464411","0.5799332111464411","0.5799332111464411"
"68","0.5814260828017936","0.5814260828017936","0.5814260828017936"
"69","0.5645526851089002","0.5645526851089002","0.5645526851089002"
"70","0.5615967719623398","0.5615967719623398","0.5615967719623398"
"71","0.5613626897318926","0.5613626897318926","0.5613626897318926"
"72","0.5611425206952312","0.5611425206952312","0.5611425206952312"
"73","0.5565515653392088","0.5565515653392088","0.5565515653392088"
"74","0.5536127821392643","0.5536127821392643","0.5536127821392643"
"75","0.5435847245269882","0.5435847245269882","0.5435847245269882"
"76","0.5496614544920992","0.5496614544920992","0.5496614544920992"
"77","0.532256546824679","0.532256546824679","0.532256546824679"
"78","0.5370991915442496","0.5370991915442496","0.5370991915442496"
"79","0.5305545086267346","0.5305545086267346","0.5305545086267346"
"80","0.5184388928376265","0.5184388928376265","0.5184388928376265"
"81","0.5331455735212417","0.5331455735212417","0.5331455735212417"
"82","0.5092791177455782","0.5092791177455782","0.5092791177455782"
"83","0.5007648155871964","0.5007648155871964","0.5007648155871964"
"84","0.5008836889300224","0.5008836889300224","0.5008836889300224"
"85","0.496339690077286","0.496339690077286","0.496339690077286"
"86","0.5039311051047831","0.5039311051047831","0.5039311051047831"
"87","0.49404336916696895","0.49404336916696895","0.49404336916696895"
"88","0.49626647057854356","0.49626647057854356","0.49626647057854356"
"89","0.4813863202331986","0.4813863202331986","0.4813863202331986"
"90","0.48130716384772015","0.48130716384772015","0.48130716384772015"
"91","0.47026848979159047","0.47026848979159047","0.47026848979159047"
"92","0.46874410724173177","0.46874410724173177","0.46874410724173177"
"93","0.47501505788164294","0.47501505788164294","0.47501505788164294"
"94","0.45973323335468697","0.45973323335468697","0.45973323335468697"
"95","0.4620686522418908","0.4620686522418908","0.4620686522418908"
"96","0.4502434187175698","0.4502434187175698","0.4502434187175698"
"97","0.4563807807380724","0.4563807807380724","0.4563807807380724"
"98","0.4577128428193298","0.4577128428193298","0.4577128428193298"
"99","0.4415876834791702","0.4415876834791702","0.4415876834791702"
"100","0.4438576874226038","0.4438576874226038","0.4438576874226038"
"101","0.45262937859048574","0.45262937859048574","0.45262937859048574"
"102","0.42655109785312484","0.42655109785312484","0.42655109785312484"
"103","0.42725562227746194","0.42725562227746194","0.42725562227746194"
"104","0.41462516367533364","0.41462516367533364","0.41462516367533364"
"105","0.407682248466448","0.407682248466448","0.407682248466448"
"106","0.40777227611302097","0.40777227611302097","0.40777227611302097"
"107","0.406077513403381","0.406077513403381","0.406077513403381"
"108","0.40520886794730504","0.40520886794730504","0.40520886794730504"
"109","0.39133404614318595","0.39133404614318595","0.39133404614318595"
"110","0.39503143104595784","0.39503143104595784","0.39503143104595784"
"111","0.3859772938270328","0.3859772938270328","0.3859772938270328"
"112","0.38606595579547354","0.38606595579547354","0.38606595579547354"
"113","0.37457349052873873","0.37457349052873873","0.37457349052873873"
"114","0.39215795247555035","0.39215795247555035","0.39215795247555035"
"115","0.38013251195059783","0.38013251195059783","0.38013251195059783"
"116","0.38024741869764583","0.38024741869764583","0.38024741869764583"
"117","0.3697328381152189","0.3697328381152189","0.3697328381152189"
