"Step","DT-halfcheetah-medium-v2-9159c08c - train_loss","DT-halfcheetah-medium-v2-9159c08c - train_loss__MIN","DT-halfcheetah-medium-v2-9159c08c - train_loss__MAX"
"0","0.6731843409437381","0.6731843409437381","0.6731843409437381"
"1","0.6601786767932748","0.6601786767932748","0.6601786767932748"
"2","0.6639432374798003","0.6639432374798003","0.6639432374798003"
"3","0.6553299296094707","0.6553299296094707","0.6553299296094707"
"4","0.6597105208340335","0.6597105208340335","0.6597105208340335"
"5","0.6580446479711457","0.6580446479711457","0.6580446479711457"
"6","0.6630559574664479","0.6630559574664479","0.6630559574664479"
"7","0.6583661153457314","0.6583661153457314","0.6583661153457314"
"8","0.6645563244438341","0.6645563244438341","0.6645563244438341"
"9","0.6566056407012311","0.6566056407012311","0.6566056407012311"
"10","0.6610465022057302","0.6610465022057302","0.6610465022057302"
"11","0.6583073504774326","0.6583073504774326","0.6583073504774326"
"12","0.6509135107736164","0.6509135107736164","0.6509135107736164"
"13","0.6649129743180674","0.6649129743180674","0.6649129743180674"
"14","0.6574441060774937","0.6574441060774937","0.6574441060774937"
"15","0.654733509940909","0.654733509940909","0.654733509940909"
"16","0.6501741371786111","0.6501741371786111","0.6501741371786111"
"17","0.6517451483186439","0.6517451483186439","0.6517451483186439"
"18","0.6487251632131618","0.6487251632131618","0.6487251632131618"
"19","0.6504046637428277","0.6504046637428277","0.6504046637428277"
"20","0.6416431818522783","0.6416431818522783","0.6416431818522783"
"21","0.6448154381474834","0.6448154381474834","0.6448154381474834"
"22","0.6395259621213828","0.6395259621213828","0.6395259621213828"
"23","0.6452881183902023","0.6452881183902023","0.6452881183902023"
"24","0.6331142971251156","0.6331142971251156","0.6331142971251156"
"25","0.623901892056838","0.623901892056838","0.623901892056838"
"26","0.6414900005496158","0.6414900005496158","0.6414900005496158"
"27","0.6169483774223082","0.6169483774223082","0.6169483774223082"
"28","0.6193203757590414","0.6193203757590414","0.6193203757590414"
"29","0.610009055882036","0.610009055882036","0.610009055882036"
"30","0.612464371157114","0.612464371157114","0.612464371157114"
"31","0.6202380620546714","0.6202380620546714","0.6202380620546714"
"32","0.6101805200412147","0.6101805200412147","0.6101805200412147"
"33","0.6091126640445703","0.6091126640445703","0.6091126640445703"
"34","0.6091613119875294","0.6091613119875294","0.6091613119875294"
"35","0.6021022284935981","0.6021022284935981","0.6021022284935981"
"36","0.6014187638655784","0.6014187638655784","0.6014187638655784"
"37","0.6107570906064084","0.6107570906064084","0.6107570906064084"
"38","0.594878629111804","0.594878629111804","0.594878629111804"
"39","0.6073676334879622","0.6073676334879622","0.6073676334879622"
"40","0.5896994266112167","0.5896994266112167","0.5896994266112167"
"41","0.5990728861553053","0.5990728861553053","0.5990728861553053"
"42","0.5909195171233222","0.5909195171233222","0.5909195171233222"
"43","0.5819753153008176","0.5819753153008176","0.5819753153008176"
"44","0.5908853305848952","0.5908853305848952","0.5908853305848952"
"45","0.5778143970674041","0.5778143970674041","0.5778143970674041"
"46","0.5706571544326389","0.5706571544326389","0.5706571544326389"
"47","0.5820041778787831","0.5820041778787831","0.5820041778787831"
"48","0.5770456138462071","0.5770456138462071","0.5770456138462071"
"49","0.5724790891582344","0.5724790891582344","0.5724790891582344"
"50","0.5608636892226704","0.5608636892226704","0.5608636892226704"
"51","0.5579317754972415","0.5579317754972415","0.5579317754972415"
"52","0.5544047705410081","0.5544047705410081","0.5544047705410081"
"53","0.5520144019453085","0.5520144019453085","0.5520144019453085"
"54","0.5322637380448969","0.5322637380448969","0.5322637380448969"
"55","0.5388497996786266","0.5388497996786266","0.5388497996786266"
"56","0.5411354625505093","0.5411354625505093","0.5411354625505093"
"57","0.5334340330887362","0.5334340330887362","0.5334340330887362"
"58","0.5267401388537802","0.5267401388537802","0.5267401388537802"
"59","0.5103035826301306","0.5103035826301306","0.5103035826301306"
"60","0.5149146192940549","0.5149146192940549","0.5149146192940549"
"61","0.5167291907465852","0.5167291907465852","0.5167291907465852"
"62","0.5109019181716087","0.5109019181716087","0.5109019181716087"
"63","0.5031053923147341","0.5031053923147341","0.5031053923147341"
"64","0.5070600206737592","0.5070600206737592","0.5070600206737592"
"65","0.5109151815790554","0.5109151815790554","0.5109151815790554"
"66","0.4875801020842165","0.4875801020842165","0.4875801020842165"
"67","0.4801785036526372","0.4801785036526372","0.4801785036526372"
"68","0.48383270932791095","0.48383270932791095","0.48383270932791095"
"69","0.49242424461444617","0.49242424461444617","0.49242424461444617"
"70","0.46205921737904676","0.46205921737904676","0.46205921737904676"
"71","0.47336444350433343","0.47336444350433343","0.47336444350433343"
"72","0.4659695709962584","0.4659695709962584","0.4659695709962584"
"73","0.46722522519872584","0.46722522519872584","0.46722522519872584"
"74","0.46283750958252834","0.46283750958252834","0.46283750958252834"
"75","0.47052216181455314","0.47052216181455314","0.47052216181455314"
"76","0.44803593885871856","0.44803593885871856","0.44803593885871856"
"77","0.4383008882296515","0.4383008882296515","0.4383008882296515"
"78","0.44225945772626823","0.44225945772626823","0.44225945772626823"
"79","0.4439792174884385","0.4439792174884385","0.4439792174884385"
"80","0.4289816412199786","0.4289816412199786","0.4289816412199786"
"81","0.4360247425412362","0.4360247425412362","0.4360247425412362"
"82","0.4284423748902065","0.4284423748902065","0.4284423748902065"
"83","0.42074849505899153","0.42074849505899153","0.42074849505899153"
"84","0.4203083908990185","0.4203083908990185","0.4203083908990185"
"85","0.4132714464871605","0.4132714464871605","0.4132714464871605"
"86","0.41508035634938567","0.41508035634938567","0.41508035634938567"
"87","0.4049738573522409","0.4049738573522409","0.4049738573522409"
"88","0.409660654218619","0.409660654218619","0.409660654218619"
"89","0.3967770434367786","0.3967770434367786","0.3967770434367786"
"90","0.3855340113684559","0.3855340113684559","0.3855340113684559"
"91","0.38528984790935017","0.38528984790935017","0.38528984790935017"
