"Step","DRWKV4-halfcheetah-medium-v2-11c150bd - train_loss","DRWKV4-halfcheetah-medium-v2-11c150bd - train_loss__MIN","DRWKV4-halfcheetah-medium-v2-11c150bd - train_loss__MAX"
"0","0.685981433096384","0.685981433096384","0.685981433096384"
"1","0.6707997176331676","0.6707997176331676","0.6707997176331676"
"2","0.6664536535232315","0.6664536535232315","0.6664536535232315"
"3","0.6863383835801629","0.6863383835801629","0.6863383835801629"
"4","0.6733696632339421","0.6733696632339421","0.6733696632339421"
"5","0.6720785292931675","0.6720785292931675","0.6720785292931675"
"6","0.6890677592247025","0.6890677592247025","0.6890677592247025"
"7","0.6824216725083683","0.6824216725083683","0.6824216725083683"
"8","0.6768335972975151","0.6768335972975151","0.6768335972975151"
"9","0.6844821604053808","0.6844821604053808","0.6844821604053808"
"10","0.6682747110488978","0.6682747110488978","0.6682747110488978"
"11","0.6852605356367514","0.6852605356367514","0.6852605356367514"
"12","0.6828146842153657","0.6828146842153657","0.6828146842153657"
"13","0.6705941211759855","0.6705941211759855","0.6705941211759855"
"14","0.6826029673199924","0.6826029673199924","0.6826029673199924"
"15","0.6754069463186763","0.6754069463186763","0.6754069463186763"
"16","0.6748667338794411","0.6748667338794411","0.6748667338794411"
"17","0.6791955358612478","0.6791955358612478","0.6791955358612478"
"18","0.6377380398663196","0.6377380398663196","0.6377380398663196"
"19","0.6689014703957336","0.6689014703957336","0.6689014703957336"
"20","0.6478814253616832","0.6478814253616832","0.6478814253616832"
"21","0.6648410778762119","0.6648410778762119","0.6648410778762119"
"22","0.6513738083217617","0.6513738083217617","0.6513738083217617"
"23","0.6737173438998293","0.6737173438998293","0.6737173438998293"
"24","0.6657379722915154","0.6657379722915154","0.6657379722915154"
"25","0.6629348418797645","0.6629348418797645","0.6629348418797645"
"26","0.6424418538697078","0.6424418538697078","0.6424418538697078"
"27","0.65989762779741","0.65989762779741","0.65989762779741"
"28","0.6405550299773222","0.6405550299773222","0.6405550299773222"
"29","0.6564057179039979","0.6564057179039979","0.6564057179039979"
"30","0.660657603975473","0.660657603975473","0.660657603975473"
"31","0.6409709614129518","0.6409709614129518","0.6409709614129518"
"32","0.638542423545627","0.638542423545627","0.638542423545627"
"33","0.6203419325076928","0.6203419325076928","0.6203419325076928"
"34","0.6156247092792049","0.6156247092792049","0.6156247092792049"
"35","0.64042972468651","0.64042972468651","0.64042972468651"
"36","0.6396018000382468","0.6396018000382468","0.6396018000382468"
"37","0.6270813406669911","0.6270813406669911","0.6270813406669911"
"38","0.6103811389056424","0.6103811389056424","0.6103811389056424"
"39","0.6194005587988729","0.6194005587988729","0.6194005587988729"
"40","0.601500358255992","0.601500358255992","0.601500358255992"
"41","0.6115620951133005","0.6115620951133005","0.6115620951133005"
"42","0.6259743879757955","0.6259743879757955","0.6259743879757955"
"43","0.6139793780542862","0.6139793780542862","0.6139793780542862"
"44","0.6211829214557537","0.6211829214557537","0.6211829214557537"
"45","0.607512046805129","0.607512046805129","0.607512046805129"
"46","0.5928375238462908","0.5928375238462908","0.5928375238462908"
"47","0.5920912340183127","0.5920912340183127","0.5920912340183127"
"48","0.6045058900075478","0.6045058900075478","0.6045058900075478"
"49","0.6010622449270134","0.6010622449270134","0.6010622449270134"
"50","0.5940027945793322","0.5940027945793322","0.5940027945793322"
"51","0.5827315647108136","0.5827315647108136","0.5827315647108136"
"52","0.5786652686853361","0.5786652686853361","0.5786652686853361"
