"Step","DT-halfcheetah-medium-v2-f26058b1 - train_loss","DT-halfcheetah-medium-v2-f26058b1 - train_loss__MIN","DT-halfcheetah-medium-v2-f26058b1 - train_loss__MAX"
"0","0.75856532800105","0.75856532800105","0.75856532800105"
"1","0.7522144933795499","0.7522144933795499","0.7522144933795499"
"2","0.7412525431866723","0.7412525431866723","0.7412525431866723"
"3","0.7613079828057421","0.7613079828057421","0.7613079828057421"
"4","0.7600951705659903","0.7600951705659903","0.7600951705659903"
"5","0.730915301793082","0.730915301793082","0.730915301793082"
"6","0.7651217861322472","0.7651217861322472","0.7651217861322472"
"7","0.7731979832482032","0.7731979832482032","0.7731979832482032"
"8","0.7518393539132362","0.7518393539132362","0.7518393539132362"
"9","0.7508858323953923","0.7508858323953923","0.7508858323953923"
"10","0.7404775204111704","0.7404775204111704","0.7404775204111704"
"11","0.7477316887724333","0.7477316887724333","0.7477316887724333"
"12","0.7422655475019927","0.7422655475019927","0.7422655475019927"
"13","0.7396143896768841","0.7396143896768841","0.7396143896768841"
"14","0.7445470351535446","0.7445470351535446","0.7445470351535446"
"15","0.7528787329767477","0.7528787329767477","0.7528787329767477"
"16","0.7310585155541099","0.7310585155541099","0.7310585155541099"
"17","0.7514482365006436","0.7514482365006436","0.7514482365006436"
"18","0.7541025160882052","0.7541025160882052","0.7541025160882052"
"19","0.7422295846902004","0.7422295846902004","0.7422295846902004"
"20","0.7320642842201598","0.7320642842201598","0.7320642842201598"
"21","0.7473231549734279","0.7473231549734279","0.7473231549734279"
"22","0.7110855792443144","0.7110855792443144","0.7110855792443144"
"23","0.7445809104932588","0.7445809104932588","0.7445809104932588"
"24","0.7245395037801029","0.7245395037801029","0.7245395037801029"
"25","0.7264687504387447","0.7264687504387447","0.7264687504387447"
"26","0.7406486120994428","0.7406486120994428","0.7406486120994428"
"27","0.735812311251038","0.735812311251038","0.735812311251038"
"28","0.7261365288624572","0.7261365288624572","0.7261365288624572"
"29","0.7338144894765529","0.7338144894765529","0.7338144894765529"
"30","0.7026474908244329","0.7026474908244329","0.7026474908244329"
"31","0.7074774650611942","0.7074774650611942","0.7074774650611942"
"32","0.7139418082805669","0.7139418082805669","0.7139418082805669"
"33","0.7042799189141145","0.7042799189141145","0.7042799189141145"
"34","0.7121758494020639","0.7121758494020639","0.7121758494020639"
"35","0.6889178923157389","0.6889178923157389","0.6889178923157389"
"36","0.6970131447842863","0.6970131447842863","0.6970131447842863"
"37","0.7148444916680781","0.7148444916680781","0.7148444916680781"
"38","0.6905263733947835","0.6905263733947835","0.6905263733947835"
"39","0.6753481955401858","0.6753481955401858","0.6753481955401858"
"40","0.694764427040304","0.694764427040304","0.694764427040304"
"41","0.6853792515677736","0.6853792515677736","0.6853792515677736"
"42","0.6780348357980517","0.6780348357980517","0.6780348357980517"
"43","0.6868139950632188","0.6868139950632188","0.6868139950632188"
"44","0.6687403046631892","0.6687403046631892","0.6687403046631892"
"45","0.6688008514189981","0.6688008514189981","0.6688008514189981"
"46","0.6562602776165836","0.6562602776165836","0.6562602776165836"
"47","0.670490160111745","0.670490160111745","0.670490160111745"
"48","0.6425210567204919","0.6425210567204919","0.6425210567204919"
"49","0.6564155315423943","0.6564155315423943","0.6564155315423943"
"50","0.6622452858626655","0.6622452858626655","0.6622452858626655"
"51","0.6425566123670057","0.6425566123670057","0.6425566123670057"
"52","0.6431453750116427","0.6431453750116427","0.6431453750116427"
"53","0.6418986815659568","0.6418986815659568","0.6418986815659568"
"54","0.623502776632737","0.623502776632737","0.623502776632737"
"55","0.6291519623723077","0.6291519623723077","0.6291519623723077"
"56","0.6234039542118158","0.6234039542118158","0.6234039542118158"
"57","0.6332270661216108","0.6332270661216108","0.6332270661216108"
