"Step","DRWKV4-halfcheetah-medium-v2-fef93df8 - train_loss","DRWKV4-halfcheetah-medium-v2-fef93df8 - train_loss__MIN","DRWKV4-halfcheetah-medium-v2-fef93df8 - train_loss__MAX"
"0","0.6575356611733236","0.6575356611733236","0.6575356611733236"
"1","0.6428159516423512","0.6428159516423512","0.6428159516423512"
"2","0.6600941974427409","0.6600941974427409","0.6600941974427409"
"3","0.6411769977993036","0.6411769977993036","0.6411769977993036"
"4","0.6744327927362376","0.6744327927362376","0.6744327927362376"
"5","0.6699891607357998","0.6699891607357998","0.6699891607357998"
"6","0.6477410242059153","0.6477410242059153","0.6477410242059153"
"7","0.663658936879712","0.663658936879712","0.663658936879712"
"8","0.6738855335321451","0.6738855335321451","0.6738855335321451"
"9","0.6405068013194676","0.6405068013194676","0.6405068013194676"
"10","0.6670729048072793","0.6670729048072793","0.6670729048072793"
"11","0.6473404877158906","0.6473404877158906","0.6473404877158906"
"12","0.6449672102444","0.6449672102444","0.6449672102444"
"13","0.6639542630021756","0.6639542630021756","0.6639542630021756"
"14","0.6478567997358963","0.6478567997358963","0.6478567997358963"
"15","0.6515539540290572","0.6515539540290572","0.6515539540290572"
"16","0.6443273822727068","0.6443273822727068","0.6443273822727068"
"17","0.6478224498856269","0.6478224498856269","0.6478224498856269"
"18","0.6323062695546617","0.6323062695546617","0.6323062695546617"
"19","0.6411452536144954","0.6411452536144954","0.6411452536144954"
"20","0.6504948827565914","0.6504948827565914","0.6504948827565914"
"21","0.6460647330824953","0.6460647330824953","0.6460647330824953"
"22","0.6500200552703469","0.6500200552703469","0.6500200552703469"
"23","0.6482677381863928","0.6482677381863928","0.6482677381863928"
"24","0.6494698482219481","0.6494698482219481","0.6494698482219481"
"25","0.6535210283617746","0.6535210283617746","0.6535210283617746"
"26","0.638604395444654","0.638604395444654","0.638604395444654"
"27","0.6425784628807977","0.6425784628807977","0.6425784628807977"
"28","0.637004234262785","0.637004234262785","0.637004234262785"
"29","0.6346058414509422","0.6346058414509422","0.6346058414509422"
"30","0.6227101518384958","0.6227101518384958","0.6227101518384958"
"31","0.6284472066880499","0.6284472066880499","0.6284472066880499"
"32","0.6316412391316519","0.6316412391316519","0.6316412391316519"
"33","0.6334127596558429","0.6334127596558429","0.6334127596558429"
"34","0.6163540314632256","0.6163540314632256","0.6163540314632256"
"35","0.6170300401802074","0.6170300401802074","0.6170300401802074"
"36","0.6166523053449111","0.6166523053449111","0.6166523053449111"
"37","0.6214791332022791","0.6214791332022791","0.6214791332022791"
"38","0.5963800434719697","0.5963800434719697","0.5963800434719697"
"39","0.6094682112722921","0.6094682112722921","0.6094682112722921"
"40","0.6140539649430791","0.6140539649430791","0.6140539649430791"
"41","0.6170226846071775","0.6170226846071775","0.6170226846071775"
"42","0.5984073493161248","0.5984073493161248","0.5984073493161248"
"43","0.5873828040108137","0.5873828040108137","0.5873828040108137"
"44","0.5960643431151702","0.5960643431151702","0.5960643431151702"
"45","0.6047631948084733","0.6047631948084733","0.6047631948084733"
"46","0.5840419845964696","0.5840419845964696","0.5840419845964696"
"47","0.5929893370930569","0.5929893370930569","0.5929893370930569"
"48","0.580146451021321","0.580146451021321","0.580146451021321"
