"Step","DRWKV6-halfcheetah-medium-v2-164a01ff - train_loss","DRWKV6-halfcheetah-medium-v2-164a01ff - train_loss__MIN","DRWKV6-halfcheetah-medium-v2-164a01ff - train_loss__MAX"
"0","0.705791087140278","0.705791087140278","0.705791087140278"
"1","0.708483957750104","0.708483957750104","0.708483957750104"
"2","0.6920728559439396","0.6920728559439396","0.6920728559439396"
"3","0.6967379973217407","0.6967379973217407","0.6967379973217407"
"4","0.6957771280172655","0.6957771280172655","0.6957771280172655"
"5","0.6746107293766879","0.6746107293766879","0.6746107293766879"
"6","0.6901966255670681","0.6901966255670681","0.6901966255670681"
"7","0.6905462015839691","0.6905462015839691","0.6905462015839691"
"8","0.6822321191462382","0.6822321191462382","0.6822321191462382"
"9","0.6876161556983705","0.6876161556983705","0.6876161556983705"
"10","0.6983451305251804","0.6983451305251804","0.6983451305251804"
"11","0.685758977677344","0.685758977677344","0.685758977677344"
"12","0.6771068035163197","0.6771068035163197","0.6771068035163197"
"13","0.6939455401803384","0.6939455401803384","0.6939455401803384"
"14","0.694428565886327","0.694428565886327","0.694428565886327"
"15","0.6858291148063992","0.6858291148063992","0.6858291148063992"
"16","0.6910925684420958","0.6910925684420958","0.6910925684420958"
"17","0.6762632470528147","0.6762632470528147","0.6762632470528147"
"18","0.6717326787377312","0.6717326787377312","0.6717326787377312"
"19","0.6702057179007691","0.6702057179007691","0.6702057179007691"
"20","0.6852939718910134","0.6852939718910134","0.6852939718910134"
"21","0.6935483587108123","0.6935483587108123","0.6935483587108123"
"22","0.6723901574586745","0.6723901574586745","0.6723901574586745"
"23","0.6673830118116303","0.6673830118116303","0.6673830118116303"
"24","0.6648484581092566","0.6648484581092566","0.6648484581092566"
"25","0.6699065600230774","0.6699065600230774","0.6699065600230774"
"26","0.6704589671806713","0.6704589671806713","0.6704589671806713"
"27","0.6698017503194684","0.6698017503194684","0.6698017503194684"
"28","0.6706192381415883","0.6706192381415883","0.6706192381415883"
"29","0.6573595556663512","0.6573595556663512","0.6573595556663512"
"30","0.6591926554865672","0.6591926554865672","0.6591926554865672"
"31","0.6526979958182433","0.6526979958182433","0.6526979958182433"
"32","0.6469945969157143","0.6469945969157143","0.6469945969157143"
"33","0.6594100816479305","0.6594100816479305","0.6594100816479305"
"34","0.6519605597905572","0.6519605597905572","0.6519605597905572"
"35","0.640975725648439","0.640975725648439","0.640975725648439"
"36","0.6483567962995654","0.6483567962995654","0.6483567962995654"
"37","0.6443070577640586","0.6443070577640586","0.6443070577640586"
"38","0.652173854510865","0.652173854510865","0.652173854510865"
"39","0.6460742145523357","0.6460742145523357","0.6460742145523357"
"40","0.6361674950297257","0.6361674950297257","0.6361674950297257"
"41","0.64085750783964","0.64085750783964","0.64085750783964"
"42","0.6195384075673388","0.6195384075673388","0.6195384075673388"
"43","0.6422292378919645","0.6422292378919645","0.6422292378919645"
"44","0.6330580074893495","0.6330580074893495","0.6330580074893495"
"45","0.6179376973070977","0.6179376973070977","0.6179376973070977"
"46","0.6231889546866588","0.6231889546866588","0.6231889546866588"
"47","0.6255703650360988","0.6255703650360988","0.6255703650360988"
"48","0.6173577647791861","0.6173577647791861","0.6173577647791861"
"49","0.6128002476566474","0.6128002476566474","0.6128002476566474"
"50","0.6061710783179284","0.6061710783179284","0.6061710783179284"
"51","0.6066878644642079","0.6066878644642079","0.6066878644642079"
"52","0.599659118719751","0.599659118719751","0.599659118719751"
"53","0.5968633485311846","0.5968633485311846","0.5968633485311846"
"54","0.5888166512790745","0.5888166512790745","0.5888166512790745"
"55","0.6001228127675664","0.6001228127675664","0.6001228127675664"
"56","0.588233243567007","0.588233243567007","0.588233243567007"
"57","0.5769695921884318","0.5769695921884318","0.5769695921884318"
"58","0.5879213952159288","0.5879213952159288","0.5879213952159288"
"59","0.5731229131966796","0.5731229131966796","0.5731229131966796"
"60","0.5764830068731743","0.5764830068731743","0.5764830068731743"
"61","0.5775268614844995","0.5775268614844995","0.5775268614844995"
"62","0.5676779269960304","0.5676779269960304","0.5676779269960304"
"63","0.5758136791765328","0.5758136791765328","0.5758136791765328"
"64","0.5560819639533706","0.5560819639533706","0.5560819639533706"
"65","0.5537769056770313","0.5537769056770313","0.5537769056770313"
"66","0.561048882144191","0.561048882144191","0.561048882144191"
"67","0.5386760787392657","0.5386760787392657","0.5386760787392657"
"68","0.5353534941140784","0.5353534941140784","0.5353534941140784"
"69","0.5446105248031338","0.5446105248031338","0.5446105248031338"
