"Step","DRWKV6-halfcheetah-medium-v2-7d370c1b - train_loss","DRWKV6-halfcheetah-medium-v2-7d370c1b - train_loss__MIN","DRWKV6-halfcheetah-medium-v2-7d370c1b - train_loss__MAX"
"0","0.7480209292457817","0.7480209292457817","0.7480209292457817"
"1","0.7461669880656588","0.7461669880656588","0.7461669880656588"
"2","0.7405778698330053","0.7405778698330053","0.7405778698330053"
"3","0.7388975629591491","0.7388975629591491","0.7388975629591491"
"4","0.7383651230910057","0.7383651230910057","0.7383651230910057"
"5","0.7315957903544622","0.7315957903544622","0.7315957903544622"
"6","0.7386315442125027","0.7386315442125027","0.7386315442125027"
"7","0.7347082055004556","0.7347082055004556","0.7347082055004556"
"8","0.7420531812042196","0.7420531812042196","0.7420531812042196"
"9","0.7447727214853442","0.7447727214853442","0.7447727214853442"
"10","0.7476179928970538","0.7476179928970538","0.7476179928970538"
"11","0.7273091706010714","0.7273091706010714","0.7273091706010714"
"12","0.7180136861446185","0.7180136861446185","0.7180136861446185"
"13","0.7547747691676467","0.7547747691676467","0.7547747691676467"
"14","0.7330913722247131","0.7330913722247131","0.7330913722247131"
"15","0.7151713392367239","0.7151713392367239","0.7151713392367239"
"16","0.7374850621699223","0.7374850621699223","0.7374850621699223"
"17","0.751890479306085","0.751890479306085","0.751890479306085"
"18","0.7359487507301552","0.7359487507301552","0.7359487507301552"
"19","0.7083631061614224","0.7083631061614224","0.7083631061614224"
"20","0.7237488338157537","0.7237488338157537","0.7237488338157537"
"21","0.7276064833344326","0.7276064833344326","0.7276064833344326"
"22","0.7168547066300333","0.7168547066300333","0.7168547066300333"
"23","0.7286619577157257","0.7286619577157257","0.7286619577157257"
"24","0.711884581687917","0.711884581687917","0.711884581687917"
"25","0.7203409042446268","0.7203409042446268","0.7203409042446268"
"26","0.709975572999948","0.709975572999948","0.709975572999948"
"27","0.7243967398236227","0.7243967398236227","0.7243967398236227"
"28","0.737530205595475","0.737530205595475","0.737530205595475"
"29","0.7262111651604887","0.7262111651604887","0.7262111651604887"
"30","0.7076119083850199","0.7076119083850199","0.7076119083850199"
"31","0.6955248181795595","0.6955248181795595","0.6955248181795595"
"32","0.721110420390115","0.721110420390115","0.721110420390115"
"33","0.7060115318081707","0.7060115318081707","0.7060115318081707"
"34","0.6993912657677744","0.6993912657677744","0.6993912657677744"
"35","0.696076007567598","0.696076007567598","0.696076007567598"
"36","0.6931374551151225","0.6931374551151225","0.6931374551151225"
"37","0.7116768235969639","0.7116768235969639","0.7116768235969639"
"38","0.7012039087792772","0.7012039087792772","0.7012039087792772"
"39","0.6854949484154611","0.6854949484154611","0.6854949484154611"
"40","0.6844580514293445","0.6844580514293445","0.6844580514293445"
"41","0.6929138799529394","0.6929138799529394","0.6929138799529394"
"42","0.6828735752988021","0.6828735752988021","0.6828735752988021"
"43","0.684833022411778","0.684833022411778","0.684833022411778"
"44","0.6780797419231948","0.6780797419231948","0.6780797419231948"
"45","0.6897729759885979","0.6897729759885979","0.6897729759885979"
"46","0.6626010711774559","0.6626010711774559","0.6626010711774559"
"47","0.6574817644990761","0.6574817644990761","0.6574817644990761"
"48","0.6699658455272051","0.6699658455272051","0.6699658455272051"
"49","0.6711405847651815","0.6711405847651815","0.6711405847651815"
"50","0.657862484133191","0.657862484133191","0.657862484133191"
"51","0.6514859670934987","0.6514859670934987","0.6514859670934987"
"52","0.6475487957468429","0.6475487957468429","0.6475487957468429"
"53","0.6508159238607354","0.6508159238607354","0.6508159238607354"
"54","0.6399809472670616","0.6399809472670616","0.6399809472670616"
"55","0.6312001359247489","0.6312001359247489","0.6312001359247489"
"56","0.6445814917522115","0.6445814917522115","0.6445814917522115"
"57","0.64702302761001","0.64702302761001","0.64702302761001"
"58","0.6450158031835327","0.6450158031835327","0.6450158031835327"
"59","0.6381832813094799","0.6381832813094799","0.6381832813094799"
"60","0.6272777810464372","0.6272777810464372","0.6272777810464372"
"61","0.6263644545990281","0.6263644545990281","0.6263644545990281"
"62","0.6272948800760195","0.6272948800760195","0.6272948800760195"
"63","0.6123682058723338","0.6123682058723338","0.6123682058723338"
"64","0.6185451215195426","0.6185451215195426","0.6185451215195426"
"65","0.6047495871241372","0.6047495871241372","0.6047495871241372"
"66","0.6033335466249161","0.6033335466249161","0.6033335466249161"
"67","0.6100814968890977","0.6100814968890977","0.6100814968890977"
"68","0.5881000412618481","0.5881000412618481","0.5881000412618481"
"69","0.601145561478267","0.601145561478267","0.601145561478267"
"70","0.5971865457315793","0.5971865457315793","0.5971865457315793"
"71","0.6002739598850939","0.6002739598850939","0.6002739598850939"
"72","0.5840663202968897","0.5840663202968897","0.5840663202968897"
"73","0.5776840693317129","0.5776840693317129","0.5776840693317129"
"74","0.5738308250714419","0.5738308250714419","0.5738308250714419"
"75","0.5737515408237206","0.5737515408237206","0.5737515408237206"
"76","0.5619501415129626","0.5619501415129626","0.5619501415129626"
"77","0.5706834638103083","0.5706834638103083","0.5706834638103083"
"78","0.5451569582381691","0.5451569582381691","0.5451569582381691"
"79","0.5591744612949017","0.5591744612949017","0.5591744612949017"
"80","0.5592972000688969","0.5592972000688969","0.5592972000688969"
"81","0.5372239315790909","0.5372239315790909","0.5372239315790909"
"82","0.5429903449011915","0.5429903449011915","0.5429903449011915"
"83","0.5470113321018032","0.5470113321018032","0.5470113321018032"
"84","0.5454298220609685","0.5454298220609685","0.5454298220609685"
"85","0.5308580453779956","0.5308580453779956","0.5308580453779956"
"86","0.5189667260470094","0.5189667260470094","0.5189667260470094"
"87","0.5254360540830258","0.5254360540830258","0.5254360540830258"
"88","0.5122162581870289","0.5122162581870289","0.5122162581870289"
"89","0.520586337028093","0.520586337028093","0.520586337028093"
"90","0.5162456464499605","0.5162456464499605","0.5162456464499605"
"91","0.516661125304193","0.516661125304193","0.516661125304193"
"92","0.5031625864030498","0.5031625864030498","0.5031625864030498"
"93","0.4974475182084057","0.4974475182084057","0.4974475182084057"
"94","0.4993588312693089","0.4993588312693089","0.4993588312693089"
"95","0.4945677635718172","0.4945677635718172","0.4945677635718172"
"96","0.4780612444157787","0.4780612444157787","0.4780612444157787"
"97","0.4760251494235653","0.4760251494235653","0.4760251494235653"
"98","0.4742917908757099","0.4742917908757099","0.4742917908757099"
"99","0.4607864888200381","0.4607864888200381","0.4607864888200381"
"100","0.4647594361658389","0.4647594361658389","0.4647594361658389"
"101","0.4774542997221208","0.4774542997221208","0.4774542997221208"
"102","0.47571727192457786","0.47571727192457786","0.47571727192457786"
"103","0.4605575837593483","0.4605575837593483","0.4605575837593483"
"104","0.4527024136139006","0.4527024136139006","0.4527024136139006"
"105","0.4397990937287239","0.4397990937287239","0.4397990937287239"
"106","0.43281487861769863","0.43281487861769863","0.43281487861769863"
"107","0.43380588053895186","0.43380588053895186","0.43380588053895186"
"108","0.43482560421177585","0.43482560421177585","0.43482560421177585"
