"Step","DRWKV5-halfcheetah-medium-v2-4a18120f - train_loss","DRWKV5-halfcheetah-medium-v2-4a18120f - train_loss__MIN","DRWKV5-halfcheetah-medium-v2-4a18120f - train_loss__MAX"
"0","0.6997794230374644","0.6997794230374644","0.6997794230374644"
"1","0.6923685628976413","0.6923685628976413","0.6923685628976413"
"2","0.7088787503456943","0.7088787503456943","0.7088787503456943"
"3","0.6914210615914516","0.6914210615914516","0.6914210615914516"
"4","0.6697398945969654","0.6697398945969654","0.6697398945969654"
"5","0.6729915527652732","0.6729915527652732","0.6729915527652732"
"6","0.6954654129000654","0.6954654129000654","0.6954654129000654"
"7","0.7012368260278544","0.7012368260278544","0.7012368260278544"
"8","0.6842482010594886","0.6842482010594886","0.6842482010594886"
"9","0.6988122555180105","0.6988122555180105","0.6988122555180105"
"10","0.6905097403971496","0.6905097403971496","0.6905097403971496"
"11","0.6843014470322333","0.6843014470322333","0.6843014470322333"
"12","0.6876322561684415","0.6876322561684415","0.6876322561684415"
"13","0.6764961561359821","0.6764961561359821","0.6764961561359821"
"14","0.6790402514566307","0.6790402514566307","0.6790402514566307"
"15","0.6917586989820805","0.6917586989820805","0.6917586989820805"
"16","0.6754633023854315","0.6754633023854315","0.6754633023854315"
"17","0.6930598275230291","0.6930598275230291","0.6930598275230291"
"18","0.6955067257016824","0.6955067257016824","0.6955067257016824"
"19","0.6822594502244541","0.6822594502244541","0.6822594502244541"
"20","0.6848176505476187","0.6848176505476187","0.6848176505476187"
"21","0.6827821842711258","0.6827821842711258","0.6827821842711258"
"22","0.6811537037336179","0.6811537037336179","0.6811537037336179"
"23","0.6823982503364612","0.6823982503364612","0.6823982503364612"
"24","0.6790667941102259","0.6790667941102259","0.6790667941102259"
"25","0.6874906304893544","0.6874906304893544","0.6874906304893544"
"26","0.6807609672876211","0.6807609672876211","0.6807609672876211"
"27","0.6754535538840287","0.6754535538840287","0.6754535538840287"
"28","0.6657943808037406","0.6657943808037406","0.6657943808037406"
"29","0.6627841569170666","0.6627841569170666","0.6627841569170666"
"30","0.6731213076214146","0.6731213076214146","0.6731213076214146"
"31","0.660362053630268","0.660362053630268","0.660362053630268"
"32","0.6675302547501696","0.6675302547501696","0.6675302547501696"
"33","0.6499444238778935","0.6499444238778935","0.6499444238778935"
"34","0.6525504476806551","0.6525504476806551","0.6525504476806551"
