"Step","DRWKV5-halfcheetah-medium-v2-40fe1d6c - train_loss","DRWKV5-halfcheetah-medium-v2-40fe1d6c - train_loss__MIN","DRWKV5-halfcheetah-medium-v2-40fe1d6c - train_loss__MAX"
"0","0.674775441087725","0.674775441087725","0.674775441087725"
"1","0.6786111069667687","0.6786111069667687","0.6786111069667687"
"2","0.6852144895052512","0.6852144895052512","0.6852144895052512"
"3","0.6787424655179394","0.6787424655179394","0.6787424655179394"
"4","0.682178862709656","0.682178862709656","0.682178862709656"
"5","0.6801214065014454","0.6801214065014454","0.6801214065014454"
"6","0.6705010761530021","0.6705010761530021","0.6705010761530021"
"7","0.6810745885109138","0.6810745885109138","0.6810745885109138"
"8","0.6671916660524744","0.6671916660524744","0.6671916660524744"
"9","0.6617887774292892","0.6617887774292892","0.6617887774292892"
"10","0.6704434568571362","0.6704434568571362","0.6704434568571362"
"11","0.6752824903814706","0.6752824903814706","0.6752824903814706"
"12","0.6630066837768483","0.6630066837768483","0.6630066837768483"
"13","0.6607810352127846","0.6607810352127846","0.6607810352127846"
"14","0.6649997702022936","0.6649997702022936","0.6649997702022936"
"15","0.6676327008761118","0.6676327008761118","0.6676327008761118"
"16","0.6661354078005737","0.6661354078005737","0.6661354078005737"
"17","0.6677022551660208","0.6677022551660208","0.6677022551660208"
"18","0.6720625545032521","0.6720625545032521","0.6720625545032521"
"19","0.6616878770522395","0.6616878770522395","0.6616878770522395"
"20","0.6637004926372079","0.6637004926372079","0.6637004926372079"
"21","0.6710730189711799","0.6710730189711799","0.6710730189711799"
"22","0.6533115218150716","0.6533115218150716","0.6533115218150716"
"23","0.6576271733284171","0.6576271733284171","0.6576271733284171"
"24","0.6576828881370232","0.6576828881370232","0.6576828881370232"
"25","0.6492471608198751","0.6492471608198751","0.6492471608198751"
"26","0.6650849515448148","0.6650849515448148","0.6650849515448148"
"27","0.637715820629428","0.637715820629428","0.637715820629428"
"28","0.6604161562156639","0.6604161562156639","0.6604161562156639"
"29","0.6430993636200587","0.6430993636200587","0.6430993636200587"
"30","0.6429425921407286","0.6429425921407286","0.6429425921407286"
"31","0.6470722896022294","0.6470722896022294","0.6470722896022294"
"32","0.6544631598943844","0.6544631598943844","0.6544631598943844"
"33","0.645186503792188","0.645186503792188","0.645186503792188"
"34","0.6491037336788095","0.6491037336788095","0.6491037336788095"
"35","0.6376539028841008","0.6376539028841008","0.6376539028841008"
"36","0.6293824419915865","0.6293824419915865","0.6293824419915865"
"37","0.638332891815466","0.638332891815466","0.638332891815466"
"38","0.6194057669211505","0.6194057669211505","0.6194057669211505"
