"Step","DRWKV4-halfcheetah-medium-v2-6b586dc9 - train_loss","DRWKV4-halfcheetah-medium-v2-6b586dc9 - train_loss__MIN","DRWKV4-halfcheetah-medium-v2-6b586dc9 - train_loss__MAX"
"0","0.6978060267978227","0.6978060267978227","0.6978060267978227"
"1","0.6914224210505475","0.6914224210505475","0.6914224210505475"
"2","0.6945887609274701","0.6945887609274701","0.6945887609274701"
"3","0.7025688519893015","0.7025688519893015","0.7025688519893015"
"4","0.703708751665158","0.703708751665158","0.703708751665158"
"5","0.7044020790493607","0.7044020790493607","0.7044020790493607"
"6","0.6895648971224508","0.6895648971224508","0.6895648971224508"
"7","0.6894595883962189","0.6894595883962189","0.6894595883962189"
"8","0.7000853743999789","0.7000853743999789","0.7000853743999789"
"9","0.7006992477522658","0.7006992477522658","0.7006992477522658"
"10","0.705868510959062","0.705868510959062","0.705868510959062"
"11","0.6921866362508763","0.6921866362508763","0.6921866362508763"
"12","0.6956811474317683","0.6956811474317683","0.6956811474317683"
"13","0.6968394590868534","0.6968394590868534","0.6968394590868534"
"14","0.6965851440137913","0.6965851440137913","0.6965851440137913"
"15","0.6940898995786199","0.6940898995786199","0.6940898995786199"
"16","0.6910645795607925","0.6910645795607925","0.6910645795607925"
"17","0.6811314553860344","0.6811314553860344","0.6811314553860344"
"18","0.693458678151997","0.693458678151997","0.693458678151997"
"19","0.6774829269937334","0.6774829269937334","0.6774829269937334"
"20","0.6752776148882473","0.6752776148882473","0.6752776148882473"
"21","0.6787298558663081","0.6787298558663081","0.6787298558663081"
"22","0.7057404751667259","0.7057404751667259","0.7057404751667259"
"23","0.6770051385610891","0.6770051385610891","0.6770051385610891"
"24","0.6965342842488499","0.6965342842488499","0.6965342842488499"
"25","0.679075773184749","0.679075773184749","0.679075773184749"
"26","0.6707441225700188","0.6707441225700188","0.6707441225700188"
"27","0.6633605189207072","0.6633605189207072","0.6633605189207072"
"28","0.6590685191316143","0.6590685191316143","0.6590685191316143"
"29","0.6773721497846419","0.6773721497846419","0.6773721497846419"
"30","0.6497542339848483","0.6497542339848483","0.6497542339848483"
"31","0.6613421454038508","0.6613421454038508","0.6613421454038508"
"32","0.6624773667440846","0.6624773667440846","0.6624773667440846"
"33","0.662877541798001","0.662877541798001","0.662877541798001"
"34","0.6614065954465017","0.6614065954465017","0.6614065954465017"
"35","0.6639747348457674","0.6639747348457674","0.6639747348457674"
"36","0.6481664918709991","0.6481664918709991","0.6481664918709991"
"37","0.6369520244338854","0.6369520244338854","0.6369520244338854"
"38","0.6387560436599276","0.6387560436599276","0.6387560436599276"
"39","0.6565123294668677","0.6565123294668677","0.6565123294668677"
"40","0.6597479857456043","0.6597479857456043","0.6597479857456043"
"41","0.6573918609077721","0.6573918609077721","0.6573918609077721"
