"Step","DT-halfcheetah-medium-v2-35ef10a6 - train_loss","DT-halfcheetah-medium-v2-35ef10a6 - train_loss__MIN","DT-halfcheetah-medium-v2-35ef10a6 - train_loss__MAX"
"0","0.7248746625060462","0.7248746625060462","0.7248746625060462"
"1","0.7079185278173208","0.7079185278173208","0.7079185278173208"
"2","0.7021994197954321","0.7021994197954321","0.7021994197954321"
"3","0.723339775356486","0.723339775356486","0.723339775356486"
"4","0.718863181685808","0.718863181685808","0.718863181685808"
"5","0.7114747795505785","0.7114747795505785","0.7114747795505785"
"6","0.7187612588070594","0.7187612588070594","0.7187612588070594"
"7","0.7225446948552535","0.7225446948552535","0.7225446948552535"
"8","0.7048961442266851","0.7048961442266851","0.7048961442266851"
"9","0.7139499916743067","0.7139499916743067","0.7139499916743067"
"10","0.7191515508374192","0.7191515508374192","0.7191515508374192"
"11","0.7181792560811197","0.7181792560811197","0.7181792560811197"
"12","0.706906922309493","0.706906922309493","0.706906922309493"
"13","0.7152164335528821","0.7152164335528821","0.7152164335528821"
"14","0.713392718935868","0.713392718935868","0.713392718935868"
"15","0.7102902003752796","0.7102902003752796","0.7102902003752796"
"16","0.7037184970959136","0.7037184970959136","0.7037184970959136"
"17","0.6900598009493465","0.6900598009493465","0.6900598009493465"
"18","0.7021309873098824","0.7021309873098824","0.7021309873098824"
"19","0.7086836998096214","0.7086836998096214","0.7086836998096214"
"20","0.7031365240624345","0.7031365240624345","0.7031365240624345"
"21","0.6810114238768048","0.6810114238768048","0.6810114238768048"
"22","0.6997042390612447","0.6997042390612447","0.6997042390612447"
"23","0.694196138997412","0.694196138997412","0.694196138997412"
"24","0.7017480677082448","0.7017480677082448","0.7017480677082448"
"25","0.6896708489445317","0.6896708489445317","0.6896708489445317"
"26","0.6799035848520377","0.6799035848520377","0.6799035848520377"
"27","0.6874928849821779","0.6874928849821779","0.6874928849821779"
"28","0.6731823217771707","0.6731823217771707","0.6731823217771707"
"29","0.6796019008692674","0.6796019008692674","0.6796019008692674"
"30","0.6862278541462314","0.6862278541462314","0.6862278541462314"
"31","0.6749844501343395","0.6749844501343395","0.6749844501343395"
"32","0.6712855525442802","0.6712855525442802","0.6712855525442802"
"33","0.6718815890538407","0.6718815890538407","0.6718815890538407"
