"Step","DRWKV5-halfcheetah-medium-v2-3f920650 - train_loss","DRWKV5-halfcheetah-medium-v2-3f920650 - train_loss__MIN","DRWKV5-halfcheetah-medium-v2-3f920650 - train_loss__MAX"
"0","0.6792192490932103","0.6792192490932103","0.6792192490932103"
"1","0.6480911338357171","0.6480911338357171","0.6480911338357171"
"2","0.659875178050319","0.659875178050319","0.659875178050319"
"3","0.6555693217780234","0.6555693217780234","0.6555693217780234"
"4","0.6511498172789738","0.6511498172789738","0.6511498172789738"
"5","0.659809384307254","0.659809384307254","0.659809384307254"
"6","0.6613451354942496","0.6613451354942496","0.6613451354942496"
"7","0.6611663046270059","0.6611663046270059","0.6611663046270059"
"8","0.6606374502782918","0.6606374502782918","0.6606374502782918"
"9","0.6660041058873588","0.6660041058873588","0.6660041058873588"
"10","0.6492355983026653","0.6492355983026653","0.6492355983026653"
"11","0.6588337597693554","0.6588337597693554","0.6588337597693554"
"12","0.6471997931504938","0.6471997931504938","0.6471997931504938"
"13","0.6556622880685483","0.6556622880685483","0.6556622880685483"
"14","0.6494185478833963","0.6494185478833963","0.6494185478833963"
"15","0.6297016600591804","0.6297016600591804","0.6297016600591804"
"16","0.6585795036201549","0.6585795036201549","0.6585795036201549"
"17","0.6573765953020294","0.6573765953020294","0.6573765953020294"
"18","0.6456111825845667","0.6456111825845667","0.6456111825845667"
"19","0.6546397849112866","0.6546397849112866","0.6546397849112866"
"20","0.6570286105583162","0.6570286105583162","0.6570286105583162"
"21","0.6461966772064216","0.6461966772064216","0.6461966772064216"
"22","0.6440017536986794","0.6440017536986794","0.6440017536986794"
"23","0.6479922694947842","0.6479922694947842","0.6479922694947842"
"24","0.6464053171112049","0.6464053171112049","0.6464053171112049"
"25","0.6368245877797856","0.6368245877797856","0.6368245877797856"
"26","0.6411146351986382","0.6411146351986382","0.6411146351986382"
"27","0.6404627656519345","0.6404627656519345","0.6404627656519345"
"28","0.6271066935725657","0.6271066935725657","0.6271066935725657"
"29","0.6291649886887303","0.6291649886887303","0.6291649886887303"
"30","0.6112203947053686","0.6112203947053686","0.6112203947053686"
"31","0.6251855287917104","0.6251855287917104","0.6251855287917104"
"32","0.6220783282043811","0.6220783282043811","0.6220783282043811"
"33","0.6256904235750378","0.6256904235750378","0.6256904235750378"
"34","0.6216139535184079","0.6216139535184079","0.6216139535184079"
"35","0.6136112053296424","0.6136112053296424","0.6136112053296424"
"36","0.6211705943827882","0.6211705943827882","0.6211705943827882"
"37","0.6152277309285066","0.6152277309285066","0.6152277309285066"
"38","0.61587960205183","0.61587960205183","0.61587960205183"
"39","0.6160731690003418","0.6160731690003418","0.6160731690003418"
"40","0.6120541086833974","0.6120541086833974","0.6120541086833974"
"41","0.6053575802357523","0.6053575802357523","0.6053575802357523"
"42","0.6082736711643024","0.6082736711643024","0.6082736711643024"
"43","0.5880655137470393","0.5880655137470393","0.5880655137470393"
"44","0.6145569041392241","0.6145569041392241","0.6145569041392241"
"45","0.5985477994576248","0.5985477994576248","0.5985477994576248"
"46","0.5908991026657174","0.5908991026657174","0.5908991026657174"
"47","0.582072261939009","0.582072261939009","0.582072261939009"
"48","0.5752212088648041","0.5752212088648041","0.5752212088648041"
